name,wins,losses,draws,total_fights,win_rate,height_cm,reach_in_cm,ape_index,stance,sig_striking_accuracy,takedown_accuracy
Shavkat Rakhmonov,19,0,0,19.0,1.0,185.42,195.58,1.0547945205479454,Orthodox,60.0,25.0
Khamzat Chimaev,15,0,0,15.0,1.0,187.96,190.5,1.0135135135135134,Orthodox,60.0,55.0
Ilia Topuria,17,0,0,17.0,1.0,170.18,175.26,1.0298507462686566,Orthodox,48.0,61.0
Arisa Matsuda,7,0,0,7.0,1.0,160.02,162.56,1.0158730158730158,Orthodox,75.0,42.0
Josh Hokit,8,0,0,8.0,1.0,185.42,185.42000000000002,1.0000000000000002,Orthodox,66.0,46.0
Kurtis Campbell,8,0,0,8.0,1.0,175.26,182.88,1.0434782608695652,Switch,77.0,40.0
Jordan Johnson,10,0,0,10.0,1.0,187.96,200.66,1.0675675675675675,Orthodox,47.0,42.0
Ilian Bouafia,7,0,0,7.0,1.0,195.58,198.12,1.0129870129870129,Southpaw,47.0,0.0
Donte Johnson,7,0,0,7.0,1.0,172.72,187.96,1.0882352941176472,Southpaw,64.0,100.0
Giacomo Lemos,6,0,0,6.0,1.0,190.5,190.5,1.0,Orthodox,0.0,0.0
Jordan Johnson,10,0,0,10.0,1.0,187.96,200.66,1.0675675675675675,Orthodox,47.0,42.0
Louis Lee Scott,10,0,0,10.0,1.0,172.72,177.8,1.0294117647058825,Orthodox,58.0,66.0
Michael Oliveira,9,0,0,9.0,1.0,185.42,198.12,1.0684931506849316,Orthodox,51.0,0.0
Iwo Baraniewski,7,0,0,7.0,1.0,182.88,185.42000000000002,1.013888888888889,Orthodox,68.0,0.0
Navajo Stirling,8,0,0,8.0,1.0,193.04,200.66,1.0394736842105263,Orthodox,52.0,28.0
Santiago Luna,8,0,0,8.0,1.0,175.26,187.96,1.0724637681159421,Orthodox,54.0,83.0
DongHun Choi,9,0,0,9.0,1.0,165.1,167.64000000000001,1.0153846153846156,Switch,66.0,14.0
Regina Tarin,8,0,0,8.0,1.0,170.18,167.64000000000001,0.9850746268656717,Southpaw,47.0,33.0
Dmitry Sosnovskiy,11,0,0,11.0,1.0,190.5,195.58,1.0266666666666668,Orthodox,70.0,66.0
Marwan Rahiki,7,0,0,7.0,1.0,172.72,182.88,1.0588235294117647,Orthodox,47.0,0.0
Andre Lima,11,0,0,11.0,1.0,170.18,170.18,1.0,Orthodox,60.0,75.0
Murtazali Magomedov,10,0,0,10.0,1.0,175.26,177.8,1.0144927536231885,Orthodox,40.0,0.0
Olivier Murad,6,0,0,6.0,1.0,177.8,182.88,1.0285714285714285,Southpaw,36.0,100.0
Mario Pinto,11,0,0,11.0,1.0,195.58,200.66,1.025974025974026,Orthodox,78.0,60.0
Bia Mesquita,6,0,0,6.0,1.0,162.56,170.18,1.046875,Orthodox,57.0,66.0
Baisangur Susurkaev,11,0,0,11.0,1.0,187.96,200.66,1.0675675675675675,Orthodox,59.0,28.0
Luke Riley,12,0,0,12.0,1.0,175.26,175.26,1.0,Orthodox,60.0,0.0
Julieta Martinez,8,0,0,8.0,1.0,154.94,157.48,1.0163934426229508,Orthodox,44.0,45.0
Michael Morales,19,0,0,19.0,1.0,182.88,200.66,1.0972222222222223,Orthodox,49.0,41.0
Movsar Evloev,19,0,0,19.0,1.0,170.18,182.88,1.0746268656716418,Orthodox,48.0,48.0
Michelle Montague,7,0,0,7.0,1.0,175.26,172.72,0.9855072463768116,Southpaw,46.0,71.0
Ricky Steele,6,0,0,6.0,1.0,175.26,187.96,1.0724637681159421,Orthodox,70.0,0.0
Jacobe Smith,12,0,0,12.0,1.0,177.8,182.88,1.0285714285714285,Southpaw,67.0,91.0
Cody Chovancek,9,0,0,9.0,1.0,172.72,170.18,0.9852941176470589,Switch,50.0,0.0
Khabib Nurmagomedov,29,0,0,29.0,1.0,177.8,177.8,1.0,Orthodox,48.0,48.0
Ramiro Jimenez,11,0,0,11.0,1.0,175.26,185.42000000000002,1.0579710144927537,Southpaw,65.0,100.0
Rafael Estevam,14,0,0,14.0,1.0,172.72,175.26,1.0147058823529411,Orthodox,54.0,38.0
Anthony Romero,8,0,0,8.0,1.0,180.34,177.8,0.9859154929577465,Orthodox,52.0,22.0
Samandar Murodov,11,0,0,11.0,1.0,185.42,190.5,1.0273972602739727,Orthodox,75.0,66.0
Imanol Rodriguez,7,0,0,7.0,1.0,162.56,162.56,1.0,Orthodox,55.0,33.0
Justin Gonzales,6,0,0,6.0,1.0,175.26,182.88,1.0434782608695652,Orthodox,80.0,73.0
Magomed Zaynukov,8,0,0,8.0,1.0,177.8,172.72,0.9714285714285713,Orthodox,60.0,100.0
Jeisla Chaves,7,0,0,7.0,1.0,167.64,172.72,1.0303030303030303,Orthodox,51.0,0.0
Mario Piazzon,8,0,0,8.0,1.0,175.26,185.42000000000002,1.0579710144927537,Orthodox,73.0,50.0
Farid Basharat,15,0,0,15.0,1.0,172.72,180.34,1.0441176470588236,Orthodox,52.0,44.0
Luke Fernandez,6,0,0,6.0,1.0,185.42,193.04,1.0410958904109588,Orthodox,100.0,0.0
Danylo Voievodkin,7,0,0,7.0,1.0,193.04,198.12,1.0263157894736843,Southpaw,46.0,0.0
Pietro Menga,13,0,0,13.0,1.0,170.18,172.72,1.0149253731343284,Southpaw,0.0,0.0
Tommy McMillen,9,0,0,9.0,1.0,182.88,187.96,1.027777777777778,Orthodox,51.0,0.0
Mo Miller,6,0,0,6.0,1.0,172.72,182.88,1.0588235294117647,Orthodox,45.0,80.0
Daniel Allen,5,0,0,5.0,1.0,182.88,190.5,1.0416666666666667,Southpaw,51.0,66.0
Levi Rodrigues Jr.,6,0,0,6.0,1.0,182.88,193.04,1.0555555555555556,Orthodox,78.0,0.0
Guilherme Pat,6,0,0,6.0,1.0,198.12,205.74,1.0384615384615385,Orthodox,64.0,0.0
Abdul Rakhman Yakhyaev,8,0,0,8.0,1.0,187.96,198.12,1.054054054054054,Orthodox,78.0,100.0
Mansher Khera,10,0,0,10.0,1.0,177.8,172.72,0.9714285714285713,Orthodox,38.0,14.0
Cheyden Leialoha,6,0,0,6.0,1.0,172.72,185.42000000000002,1.073529411764706,Orthodox,28.0,33.0
Azamat Murzakanov,16,0,0,16.0,1.0,177.8,180.34,1.0142857142857142,Southpaw,57.0,15.0
Ramazan Kuramagomedov,8,0,0,8.0,1.0,185.42,185.42000000000002,1.0000000000000002,Orthodox,67.0,14.0
Nurullo Aliev,11,0,0,11.0,1.0,177.8,182.88,1.0285714285714285,Orthodox,44.0,43.0
